"Species","Rates","GC.skew","AT.skew"
"H.sapiens",0.577220077220077,0.00207368335211118,-0.00147704816801817
"A.thaliana",0.277126099706745,-0.000511785267083758,0.000584763258181977
"C.elegans",0.448559670781893,-0.00064609438155054,-2.36928929074754e-05
"D.melanogaster",0.66304347826087,-0.000531963165153282,0.000224675917657564
"E.coli",0.733796296296296,-0.00484567289570729,-0.00290302239531075
"S.cerevisiae",0.267558528428094,0.00518866526469474,0.00282211194805709
"P.luminescens.ATCC29999",0.0969932101262351,0.0102010283602617,-0.00483871074025092
"T.turnerae",0.458799593411644,-0.0229287114859446,0.0151389924965072
"M.smegmatis",0.646315791218531,-0.00117425050040892,0.00119307473153627
"P.fluorescens.ATCC948",0.946954813359528,-0.00465381112770469,0.00505182838205779
"R.toruloides",1.09677419433507,0.00182501557983958,0.00096549406465951
"M.m.domesticus",0.285741526886409,4.27569954407239e-05,-0.000604345143705031
"D.pulex",0.164415584405115,-0.000222867865773893,0.000114229487072687
"P.pacificus",0.250830564784053,0.00252334667888487,0.000617457083673731
"D.magna",0.53980196701619,0.000554738332381275,0.00153530553107559
"P.troglodytes",0.464,9.03648347269555e-05,-0.000711120959255535
"A.nancymaae",0.663865544559777,0.000223291365661005,-0.000142511047440881
